,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood
248,DRxZ2SABpXdQXk1Q1wGVhYVP8KAnGwzmwjxVi2lZiyaUTAA,Jinx,937,I,163,139,True,False,False
249,2BiDhyN13Y-2xLiLCNAU-Re8n22xFqbnbjWc59ZO1zf-Mws7,Mokokos,933,I,151,118,False,False,False
250,QgxxxNJnKLvNWCgZPAC1f4ne0NDy6ERuGiaD7S0btzYvkEk,donb,871,I,249,194,True,False,False
251,xh4-N0TKBNwpOMttBijq_02es3tFB_M4sa3O1sWvE2-SoW8,ASTROBOY99,931,I,265,222,True,False,False
252,NaeYWOKguYVAzulQpcDd_W9BWgzGeSAq8mrMoQORipVrN9c,Alecko,939,I,507,425,False,False,False
253,slJizqg8AONxKDobE9alJoRcgMoHe5tXzFvqSpCL2oJ0KaY,Nikkone,1170,I,210,158,True,False,False
254,KA_QPCeB-VCUF9OEJ7jSGWeDidSr201QYw5GWJ2cq1mDxk0S,Pengsoo Conquest,957,I,222,188,False,False,True
255,Or1IGwMMqkQUiPH_VTfcdFZS4bufuwKziZ4VmAfk_mBmh9yaa3dbGVD3lA,Old Pal,1060,I,195,164,False,False,False
256,pqz7LZ7uJBAkxpIWVCiJfQLMa3VExnFs4KmDSdzEnsuFQ01QHLAU_EPQtA,SiddyWiddy4,843,I,163,128,False,False,True
257,cWMYm5nW9GWydfarbfCsJNRsgTfpYAxr6UYfriX109jijUmP,GeneralSn1per,1541,I,351,278,True,False,False
258,eh1gvHcBLo_PGSfMxXZFLfl-MomOYC3LGjgYl8fw_RhY1xY,Pangasius,923,I,321,276,False,False,False
259,n_Ii6Ic17jzl93aq4hdryEAjlrgnf1jVbynvIdTYwQh40Zs,Karen Osp fan,895,I,273,232,False,False,True
260,M66v2Jf2wopF5r2w_K4ydQR_W93hb0sqFPNbip06wjxBr4Y8iBHyDeg4Yw,XAXAXAXAXAX,876,I,101,70,False,False,True
261,Pftlioy46HNz0uh3xc7f9TlvH6Wy_AZ_fIpYwYBO-jJAtGo,kookykrook,915,I,829,789,True,False,False
262,ZEF0a3MotcSzedY8sWkN0igYC8pHvuyxyakr5HbZlkEYUnk,Yung Fappy,924,I,1042,1010,False,False,False
263,dqdtKxvyBpzBmdNcV74fj5BAhfjc9DRbL2N_omNPnF1C_Gk,TheRuinedJanna,920,I,290,201,False,False,False
264,z8YWp_8dmhD0D8dg3AcMCbkHrrzJTVfe6y7EymlszQLDk2o,Dun,1107,I,240,194,False,False,False
265,roG8qrWl95TiBvlOOIV4TAFdhPUbqJDkKeIpeYonpgt8OyM,Taqiyahs Bunny,872,I,349,313,True,False,False
266,dZgxhGWxAYDUHFQZswC-w_djq4gnmDgmYMlJ4nekB9R2A9w,The Tank Man,1007,I,702,674,True,False,False
267,Eis3gJDlSm5zc9sRDj7446928ZJrBPhHQ2IQXlk1ShumCV0,ƒortunate,911,I,142,96,False,False,False
268,HljFQuH_gBq_RB-EF9k7J5OuN9W4ZLujmCB2qpXP-WA1Onk,Brother Gwang,1118,I,416,356,False,False,False
269,ZWtcFEodnxeaEshwMlgdwDDxz5YnBchsUI-oEuz2o9gaV0c,ZED04,999,I,545,501,True,False,False
270,xeSTItseT-vdI0ir9ZWXVR11WLvcA4BHUe8jSSNnL2HjP11BJJMnX5mBNg,Vyssini,904,I,340,301,False,False,True
271,a_5HsJxlq0GwjB7f7zZKqXebXjWp_bIRQAUUQ34zhxkyqe8,Dahyun x Twice,859,I,176,141,False,False,True
272,UQF8mdd0cbJTS15ptK0yiTu2VlPR8akoFSzqYBmKdJImNP0,andyincher,845,I,346,302,False,False,True
273,7uVuOns880Qt856hmymkzy-Go4zvy4K00x3B9y09duHgEyw,Dragoon,1048,I,247,209,True,False,False
274,2HjtoOlJJxpvNM4tHl2LZAbekC5MwcWoJQunAs4YPOLe3aPZjPugPgFSdg,ivy ovo,920,I,358,325,True,False,False
275,xsuhSA4eoDqAL-94iHZzwd20zAfMiQRlIIezi5twMPaETnoQ8StWsmEMBQ,WillEvan1,1012,I,172,114,False,False,False
276,9iirXxHBnStt59csSC6lW94qXw4CUinKZk0qtN3GB638AP0,im Ahj,862,I,432,398,False,False,False
